iter	Passed	Remaining
0	5	211
1	7	141
2	8	113
3	10	98
4	12	88
5	14	81
6	15	76
7	17	73
8	19	70
9	21	66
10	23	64
11	25	61
12	27	58
13	28	55
14	30	53
15	32	50
16	34	48
17	35	45
18	37	43
19	39	41
20	41	39
21	43	37
22	45	35
23	46	33
24	48	31
25	50	29
26	52	27
27	53	25
28	55	23
29	57	21
30	59	19
31	61	17
32	63	15
33	64	13
34	66	11
35	68	9
36	70	7
37	72	5
38	74	3
39	75	1
40	77	0
